seq,timestamp_ms,ax,ay,az,gx,gy,gz
375,139819,3415,5680,-4737,-11,8,-12
376,139829,3407,5683,-4734,-16,11,-17
377,139839,3384,5669,-4725,-17,9,-16
378,139849,3361,5663,-4704,-21,9,-14
379,139859,3336,5660,-4684,-21,8,-10
380,139870,3337,5647,-4686,-16,8,-5
381,139880,3336,5662,-4666,-9,7,-3
382,139893,3330,5667,-4686,0,4,-2
383,139919,3349,5695,-4739,-2,5,6
384,139939,3377,5680,-4722,-14,4,9
385,139951,3406,5673,-4715,-12,1,9
386,139971,3384,5667,-4666,-5,4,13
387,139983,3357,5670,-4646,3,3,13
388,139993,3334,5683,-4661,14,2,16
389,140003,3344,5709,-4711,20,1,16
390,140012,3359,5723,-4749,20,1,14
391,140024,3358,5725,-4774,13,4,13
392,140033,3367,5704,-4762,-2,10,15
393,140056,3401,5703,-4666,-22,10,13
394,140079,3373,5712,-4692,16,6,7
395,140096,3346,5721,-4715,15,9,5
396,140106,3361,5702,-4726,15,9,10
397,140117,3381,5678,-4742,10,8,12
398,140128,3380,5694,-4741,0,9,8
399,140138,3378,5698,-4729,-7,10,7
400,140148,3382,5681,-4709,-5,10,8
401,140158,3391,5680,-4705,-3,11,10
402,140168,3396,5684,-4694,3,10,11
403,140185,3391,5678,-4703,12,9,13
404,140220,3370,5693,-4747,8,9,10
405,140238,3371,5701,-4705,-7,10,9
406,140252,3409,5662,-4697,3,8,10
407,140263,3426,5679,-4693,10,9,8
408,140273,3419,5705,-4699,9,10,4
409,140285,3390,5689,-4753,8,7,2
410,140295,3372,5681,-4778,4,7,2
411,140305,3376,5664,-4748,-6,11,6
412,140316,3390,5679,-4696,-11,15,3
413,140326,3380,5660,-4658,-6,12,4
414,140336,3400,5640,-4652,7,8,6
415,140345,3407,5657,-4702,22,6,3
416,140375,3397,5710,-4775,9,7,2
417,140400,3406,5688,-4726,-6,9,2
418,140413,3389,5663,-4684,-5,10,0
419,140422,3382,5664,-4693,2,4,-1
420,140432,3397,5682,-4714,6,3,-1
421,140442,3378,5675,-4748,4,5,-3
422,140452,3371,5651,-4734,2,4,-2
423,140467,3413,5665,-4679,-4,5,1
424,140477,3410,5664,-4685,10,5,1
425,140491,3396,5699,-4735,14,2,-5
426,140510,3405,5703,-4759,0,6,-3
427,140539,3435,5688,-4702,-11,5,-4
428,140552,3398,5666,-4689,-8,6,-3
429,140561,3374,5674,-4689,0,7,-1
430,140574,3388,5671,-4703,3,3,2
431,140584,3379,5674,-4722,13,3,-3
432,140596,3372,5677,-4750,2,5,-7
433,140607,3407,5680,-4743,1,8,-5
434,140621,3429,5672,-4720,-6,11,-4
435,140634,3426,5656,-4708,-4,13,-6
436,140649,3403,5679,-4681,2,14,-7
437,140670,3378,5646,-4705,9,12,0
438,140694,3369,5663,-4713,10,12,-2
439,140706,3362,5671,-4714,11,13,1
440,140718,3421,5641,-4737,6,13,6
441,140728,3422,5668,-4723,-3,14,4
442,140740,3404,5666,-4733,-1,13,4
443,140750,3385,5663,-4731,4,11,5
444,140762,3371,5647,-4730,3,9,7
445,140774,3381,5655,-4720,2,9,10
446,140787,3394,5652,-4701,7,9,11
447,140798,3399,5645,-4711,11,6,11
448,140824,3438,5663,-4755,9,4,13
449,140846,3402,5658,-4721,-1,4,9
450,140859,3394,5661,-4696,-1,6,12
451,140870,3401,5656,-4696,10,4,12
452,140880,3385,5664,-4704,13,5,10
453,140891,3395,5625,-4731,17,3,13
454,140903,3419,5630,-4752,18,0,16
455,140913,3449,5650,-4771,18,1,13
456,140923,3427,5660,-4755,15,6,11
457,140935,3418,5627,-4740,10,6,12
458,140947,3445,5630,-4731,10,4,14
459,140985,3407,5660,-4756,13,2,14
460,141000,3414,5650,-4762,7,0,11
461,141012,3422,5648,-4748,1,3,6
462,141029,3417,5655,-4734,2,2,7
463,141041,3405,5640,-4741,8,1,8
464,141053,3400,5655,-4754,13,2,5
465,141063,3422,5628,-4777,6,1,8
466,141075,3450,5619,-4777,-3,0,5
467,141089,3440,5616,-4742,-7,0,4
468,141107,3426,5624,-4695,-2,3,6
469,141124,3445,5643,-4742,15,1,9
470,141148,3394,5707,-4781,12,-1,6
471,141160,3381,5714,-4786,4,-3,5
472,141170,3410,5701,-4753,-4,-4,6
473,141182,3422,5654,-4734,-4,-4,8
474,141192,3446,5628,-4716,4,-5,7
475,141202,3460,5628,-4733,10,-8,1
476,141214,3430,5628,-4773,14,-8,-6
477,141224,3386,5659,-4797,9,-6,-10
478,141247,3440,5607,-4719,-2,0,-4
479,141269,3408,5657,-4724,1,-1,-11
480,141285,3418,5632,-4738,7,-1,-3
481,141299,3439,5618,-4767,4,-5,1
482,141309,3394,5621,-4750,1,-3,0
483,141322,3371,5592,-4711,4,-4,4
484,141332,3398,5599,-4692,9,-6,8
485,141344,3403,5611,-4720,15,-3,5
486,141354,3380,5621,-4765,24,-1,6
487,141365,3367,5651,-4823,22,-2,7
488,141374,3369,5639,-4814,7,-3,13
489,141389,3479,5647,-4728,-7,-3,17
490,141403,3484,5664,-4714,0,-4,11
491,141416,3444,5645,-4701,10,-1,7
492,141446,3420,5672,-4768,14,2,-1
493,141455,3399,5677,-4763,3,6,-5
494,141466,3404,5650,-4737,0,7,-4
495,141476,3425,5631,-4729,1,8,-1
496,141487,3447,5635,-4728,4,10,-2
497,141496,3466,5661,-4751,10,13,-7
498,141507,3455,5636,-4782,15,13,-9
499,141516,3470,5626,-4780,16,12,-11
500,141527,3448,5621,-4779,14,13,-16
501,141536,3420,5629,-4775,10,14,-21
502,141552,3371,5592,-4751,8,15,-18
503,141569,3395,5582,-4735,6,13,-13
504,141597,3395,5610,-4773,22,10,-11
505,141616,3411,5641,-4771,30,6,-6
506,141630,3392,5593,-4804,23,8,-1
507,141640,3380,5593,-4809,21,11,1
508,141650,3378,5595,-4775,19,8,4
509,141662,3413,5646,-4780,32,2,5
510,141672,3398,5653,-4678,44,-1,8
511,141688,3426,5538,-4745,53,-6,19
512,141718,3362,5659,-4871,24,2,-7
513,141735,3441,5641,-4818,-1,5,-3
514,141746,3462,5639,-4772,-12,11,-7
515,141756,3444,5621,-4712,-20,14,-11
516,141767,3425,5639,-4709,-12,8,-14
517,141776,3425,5641,-4744,4,6,-16
518,141787,3426,5631,-4795,14,8,-14
519,141796,3430,5613,-4830,17,9,-13
520,141807,3450,5595,-4862,11,8,-15
521,141818,3427,5603,-4834,-2,11,-23
522,141828,3386,5599,-4811,-16,16,-26
523,141848,3382,5627,-4774,-16,16,-24
524,141867,3382,5593,-4744,-10,15,-15
525,141890,3421,5598,-4833,-5,11,-15
526,141914,3378,5582,-4808,-15,13,-12
527,141924,3357,5569,-4773,-22,16,-9
528,141937,3391,5555,-4763,-5,13,-3
529,141950,3405,5571,-4798,-1,12,0
530,141969,3401,5590,-4806,1,15,8
531,141980,3413,5581,-4799,-5,14,13
532,141991,3423,5592,-4782,-8,12,15
533,142007,3368,5580,-4755,-5,15,19
534,142019,3383,5575,-4736,0,15,22
535,142041,3426,5601,-4796,5,17,27
536,142054,3410,5620,-4809,-8,20,26
537,142064,3387,5625,-4767,-17,24,27
538,142073,3400,5600,-4744,-18,23,33
539,142084,3435,5585,-4730,-12,22,35
540,142093,3467,5632,-4717,-2,22,32
541,142104,3466,5636,-4727,8,23,27
542,142113,3465,5642,-4729,15,25,24
543,142124,3489,5672,-4748,15,23,21
544,142134,3495,5661,-4759,10,26,15
545,142149,3471,5691,-4812,3,30,1
546,142176,3475,5661,-4785,-19,28,-5
547,142188,3494,5635,-4745,-15,29,-11
548,142198,3493,5613,-4775,-5,29,-16
549,142209,3447,5642,-4782,5,22,-31
550,142220,3415,5639,-4791,1,22,-31
551,142230,3418,5624,-4793,-5,22,-28
552,142241,3423,5628,-4794,-11,21,-31
553,142251,3419,5617,-4783,-22,23,-31
554,142262,3413,5599,-4761,-30,20,-30
555,142272,3424,5590,-4766,-26,18,-27
556,142283,3412,5581,-4753,-20,16,-24
557,142304,3408,5575,-4804,-7,12,-18
558,142331,3421,5570,-4778,-5,4,-8
559,142353,3392,5593,-4787,-11,1,-2
560,142367,3399,5597,-4761,-11,-4,3
561,142377,3422,5618,-4754,-10,-7,8
562,142388,3422,5609,-4756,-4,-9,10
563,142399,3406,5632,-4761,-1,-9,14
564,142409,3400,5598,-4754,-2,-11,16
565,142420,3421,5580,-4781,0,-11,17
566,142431,3445,5615,-4811,-2,-11,14
567,142446,3430,5630,-4818,-25,-10,11
568,142490,3434,5619,-4682,1,-16,17
569,142509,3442,5638,-4800,6,-16,11
570,142521,3441,5643,-4816,-9,-11,10
571,142532,3469,5633,-4786,-28,-7,12
572,142543,3477,5631,-4745,-35,-5,11
573,142553,3446,5616,-4677,-32,-3,7
574,142564,3429,5627,-4673,-4,-4,3
575,142574,3440,5661,-4732,10,-7,2
576,142592,3431,5692,-4777,6,-4,1
577,142618,3486,5629,-4737,-20,4,3
578,142643,3456,5651,-4701,-18,5,-6
579,142654,3426,5631,-4729,-15,4,-7
580,142669,3423,5620,-4751,-12,3,-6
581,142680,3404,5628,-4768,-11,2,-5
582,142689,3390,5647,-4763,-13,2,-6
583,142700,3405,5633,-4715,-13,0,-3
584,142710,3427,5612,-4698,-4,-3,3
585,142722,3440,5634,-4749,3,-3,4
586,142737,3441,5624,-4752,-6,2,3
587,142765,3473,5625,-4744,-12,0,1
588,142786,3410,5650,-4723,-15,5,0
589,142800,3414,5641,-4716,-10,-2,6
590,142811,3399,5617,-4719,-5,-3,6
591,142822,3407,5632,-4721,2,-2,8
592,142833,3431,5645,-4754,9,-3,7
593,142844,3433,5637,-4765,8,-3,5
594,142856,3462,5646,-4756,2,0,7
595,142867,3482,5643,-4761,-4,-2,4
596,142888,3430,5652,-4689,-20,2,-3
597,142906,3436,5642,-4708,5,-2,3
598,142939,3397,5638,-4798,3,-1,-1
599,142949,3389,5649,-4751,-13,2,-4
600,142962,3393,5649,-4719,-15,4,-1
601,142972,3434,5613,-4720,-14,3,1
602,142984,3443,5620,-4735,-8,0,0
603,142994,3451,5646,-4750,-1,2,1
